X1	X2
Potra2n9c18679	GO:0005515,GO:0005750,GO:0005773,GO:0006122,GO:0016021,GO:0020037,GO:0042776,GO:0045153,GO:0046872
Potra2n9c18715	GO:0005515,GO:0016021
Potra2n9c18709	GO:0000932,GO:0003676,GO:0004535,GO:0016740,GO:0017148,GO:0030015,GO:0043928,GO:0051252,GO:0090503
Potra2n9c18665	GO:0005515
Potra2n9c18693	GO:0005509
Potra2n9c18666	GO:0005515
Potra2n9c18668	GO:0003676
Potra2n9c18702	GO:0007165
Potra2n9c18739	GO:0004412,GO:0005829,GO:0006544,GO:0006563,GO:0009085,GO:0009086,GO:0009088,GO:0009090,GO:0009097,GO:0016301,GO:0016310,GO:0050661,GO:0055114
Potra2n9c18757	GO:0005524,GO:0005829,GO:0006777,GO:0018315,GO:0032324,GO:0046872,GO:0061598,GO:0061599
Potra2n9c18731	GO:0071249
Potra2n9c18735	GO:0003676,GO:0006397
Potra2n9c18755	GO:0004322,GO:0005507,GO:0005886,GO:0006826,GO:0009414,GO:0015994,GO:0046274,GO:0048046,GO:0052716,GO:0055072,GO:0055114
Potra2n9c18719	GO:0005789,GO:0009966,GO:0016021,GO:0016485
Potra2n9c18746	GO:0000159,GO:0004420,GO:0005524,GO:0005789,GO:0005832,GO:0006457,GO:0006694,GO:0007165,GO:0008299,GO:0015936,GO:0016021,GO:0019888,GO:0043531,GO:0043666,GO:0046686,GO:0050662,GO:0051082,GO:0055114
Potra2n9c18725	GO:0005507,GO:0005576,GO:0008447,GO:0009506,GO:0019852,GO:0055114
Potra2n9c18752	GO:0000785,GO:0003682,GO:0004672,GO:0005524,GO:0005737,GO:0005819,GO:0006468,GO:0007062,GO:0009506,GO:0016021,GO:0016363
Potra2n9c18728	GO:0004830,GO:0005524,GO:0005829,GO:0006436,GO:0006568,GO:0016740
Potra2n9c18745	GO:0016021,GO:0016818
Potra2n9c18726	GO:0003924,GO:0004298,GO:0005525,GO:0005634,GO:0005773,GO:0005794,GO:0005839,GO:0005886,GO:0006886,GO:0006888,GO:0009507,GO:0016021,GO:0032482,GO:0051603
Potra2n9c18729	GO:0003677,GO:0003700,GO:0005634,GO:0005667,GO:0006355,GO:0045449
Potra2n9c18718	GO:0016021
Potra2n9c18742	GO:0016020,GO:0016788
Potra2n9c18753	GO:0004674,GO:0005509,GO:0005524,GO:0005886,GO:0006468,GO:0009069,GO:0016021,GO:0030247
Potra2n9c18747	GO:0004674,GO:0005509,GO:0005524,GO:0005886,GO:0006468,GO:0009069,GO:0016021,GO:0030247
Potra2n9c18750	GO:0003723,GO:0003735,GO:0005840,GO:0006412,GO:0008270,GO:0016021,GO:0042254
Potra2n9c18730	GO:0004672,GO:0005524,GO:0006468,GO:0016020
Potra2n9c18722	GO:0005886,GO:0007043,GO:0031323,GO:0042545,GO:0042803,GO:0051171,GO:0051539,GO:0060255,GO:0080090
Potra2n9c18736	GO:0006355,GO:0008270
Potra2n9c18724	GO:0006744,GO:0016021,GO:0016120,GO:0016123,GO:0016192,GO:0016705,GO:0034020,GO:0052727,GO:0052728,GO:0055114
Potra2n9c18720	GO:0000290,GO:0000932,GO:0006952,GO:0008047,GO:0031087,GO:0043085
Potra2n9c18721	GO:0004843,GO:0061578,GO:0070536
Potra2n9c18738	GO:0006691,GO:0006693,GO:0050221,GO:0055114
Potra2n9c18741	GO:0005886,GO:0046854,GO:0072659
Potra2n9c18723	GO:0000266,GO:0005741,GO:0005886,GO:0016021
Potra2n9c18754	GO:0004128,GO:0006040,GO:0016021,GO:0022900
Potra2n9c18727	GO:0000447,GO:0000472,GO:0000480,GO:0005730,GO:0032040,GO:0034462,GO:0070181
Potra2n9c18756	GO:0005515
Potra2n9c18717	GO:0000492,GO:0000812,GO:0005515,GO:0005524,GO:0005657,GO:0005730,GO:0005829,GO:0006338,GO:0006357,GO:0016021,GO:0016573,GO:0030154,GO:0031011,GO:0032508,GO:0035267,GO:0043139,GO:0048507,GO:0097255,GO:2000072
Potra2n9c18734	GO:0003723,GO:0005840
Potra2n9c18751	GO:0004128,GO:0006040,GO:0022900
Potra2n9c18732	GO:0009506,GO:0016020,GO:0042742
Potra2n9c18744	GO:0005634,GO:0009416
Potra2n9c18748	GO:0004674,GO:0005509,GO:0005524,GO:0005886,GO:0006468,GO:0009069,GO:0016021,GO:0030247
Potra2n9c18809	GO:0000136,GO:0003677,GO:0005982,GO:0005985,GO:0006011,GO:0010192,GO:0016021,GO:0016760,GO:0030244,GO:0047259,GO:0048359,GO:0051753,GO:0071555,GO:0097502
Potra2n9c18822	GO:0000027,GO:0003723,GO:0003735,GO:0003824,GO:0005840,GO:0006412,GO:1902626
Potra2n9c18837	GO:0004674,GO:0005524,GO:0005634,GO:0005737,GO:0005886,GO:0006468,GO:0009069
Potra2n9c18834	GO:0031047
Potra2n9c18801	GO:0005515
Potra2n9c18827	GO:0016787
Potra2n9c18826	GO:0000302,GO:0006457,GO:0009408,GO:0009651,GO:0043621,GO:0051082,GO:0051259
Potra2n9c18838	GO:0000413,GO:0000785,GO:0003682,GO:0003755,GO:0005634,GO:0006457,GO:0009909,GO:0009933,GO:0010082,GO:0010305,GO:0031060,GO:0042393,GO:0048440,GO:0048443,GO:0048453
Potra2n9c18808	GO:0046983
Potra2n9c18805	GO:0000151,GO:0000209,GO:0003676,GO:0004523,GO:0005737,GO:0031624,GO:0032436,GO:0051252,GO:0061630
Potra2n9c18803	GO:0006886,GO:0016021,GO:0030122,GO:0035615,GO:0072583
Potra2n9c18812	GO:0005750,GO:0006122,GO:0008080,GO:0008121,GO:0008652,GO:0009060,GO:0015992,GO:0016021,GO:0034551,GO:0042967,GO:0045285,GO:0048193
Potra2n9c18806	GO:0003680
Potra2n9c18802	GO:0005739,GO:0009706,GO:0016021,GO:0099402
Potra2n9c18810	GO:0000398,GO:0005681,GO:0030628,GO:0046872,GO:0089701
Potra2n9c18817	GO:0005576,GO:0007165,GO:0008083,GO:0008283,GO:0040007
Potra2n9c18825	GO:0016020
Potra2n9c18804	GO:0035556,GO:0046872
Potra2n9c18833	GO:0005524,GO:0005886,GO:0016021,GO:0016887,GO:0042626,GO:0055085
Potra2n9c18829	GO:0003677,GO:0003700,GO:0005634,GO:0005667,GO:0006355,GO:0045449
Potra2n9c18807	GO:0003333,GO:0005886,GO:0015171,GO:0016021
Potra2n9c18830	GO:0005524,GO:0008033,GO:0052381
Potra2n9c18819	GO:0000162,GO:0004664,GO:0006571,GO:0009094,GO:0009570,GO:0019274,GO:0047769
Potra2n9c18811	GO:0003676,GO:0005730,GO:0010162,GO:0016021,GO:0045892
Potra2n9c18835	GO:0004725,GO:0006570,GO:0035335
Potra2n9c18821	GO:0005886,GO:0016021,GO:0022857,GO:0055085
Potra2n9c18818	GO:0005576,GO:0007165,GO:0008083,GO:0008283,GO:0016020,GO:0040007
Potra2n9c18836	GO:0004674,GO:0005524,GO:0005634,GO:0005737,GO:0005886,GO:0006468,GO:0009069
Potra2n9c18832	GO:0004579,GO:0005730,GO:0005774,GO:0005794,GO:0008250,GO:0009506,GO:0009826,GO:0018279,GO:0030244
Potra2n9c18778	GO:0005576,GO:0031982,GO:0080155,GO:2000008
Potra2n9c18790	GO:0005515,GO:0016021
Potra2n9c18792	GO:0000245,GO:0004674,GO:0004712,GO:0005524,GO:0005634,GO:0005737,GO:0006468,GO:0009069,GO:0035556,GO:0050684
Potra2n9c18763	GO:0003676,GO:0008270
Potra2n9c18764	GO:0001672,GO:0004674,GO:0005524,GO:0005634,GO:0005737,GO:0007059,GO:0009069,GO:0018105,GO:0035556,GO:0042802,GO:1900368
Potra2n9c18800	GO:0005829,GO:0005982,GO:0005985,GO:0009117,GO:0016740,GO:0048040,GO:0050662,GO:0071555
Potra2n9c18789	GO:0009570,GO:0010436,GO:0016121,GO:0046872,GO:0055114
Potra2n9c18786	GO:0016021
Potra2n9c18758	GO:0003712,GO:0005667,GO:0008134,GO:0016592,GO:0045449,GO:0045944
Potra2n9c18794	GO:0004222,GO:0006508,GO:0016021,GO:0046872
Potra2n9c18772	GO:0000785,GO:0003682,GO:0004672,GO:0005524,GO:0005737,GO:0005819,GO:0006468,GO:0007062,GO:0009506,GO:0016363
Potra2n9c18766	GO:0005524,GO:0005634,GO:0005694,GO:0051276
Potra2n9c18781	GO:0016021
Potra2n9c18780	GO:0016021
Potra2n9c18771	GO:0004674,GO:0005509,GO:0005524,GO:0005886,GO:0006468,GO:0009069,GO:0016021,GO:0030247
Potra2n9c18769	GO:0004674,GO:0005509,GO:0005524,GO:0005886,GO:0006468,GO:0009069,GO:0016021,GO:0030247
Potra2n9c18767	GO:0004674,GO:0005509,GO:0005524,GO:0005886,GO:0006468,GO:0009069,GO:0016021,GO:0030247
Potra2n9c18788	GO:0009570,GO:0010436,GO:0016121,GO:0046872,GO:0055114
Potra2n9c18762	GO:0009056,GO:0080030
Potra2n9c18777	GO:0004031,GO:0005506,GO:0006550,GO:0006552,GO:0006568,GO:0006570,GO:0006574,GO:0006769,GO:0009055,GO:0022900,GO:0042816,GO:0046497,GO:0051537,GO:0071949,GO:0102797,GO:0102798
Potra2n9c18760	GO:0003777,GO:0005524,GO:0005871,GO:0005874,GO:0007018,GO:0008017,GO:0016887,GO:0045298
Potra2n9c18779	GO:0000278,GO:0000922,GO:0000923,GO:0000930,GO:0005813,GO:0005874,GO:0031122,GO:0043015,GO:0045298,GO:0051011,GO:0051225,GO:0051321,GO:0051415
Potra2n9c18784	GO:0003871,GO:0005829,GO:0008270,GO:0008705,GO:0009086,GO:0009507,GO:0032259
Potra2n9c18783	GO:0003723
Potra2n9c18787	GO:0003677,GO:0003746,GO:0003924,GO:0005525,GO:0005634,GO:0005829,GO:0005840,GO:0006448,GO:0008676,GO:0009103,GO:0042256,GO:0043022,GO:0046983
Potra2n9c18793	GO:0009941,GO:0010027,GO:0010117,GO:0010960,GO:0015095,GO:0016021,GO:1903830
Potra2n9c18776	GO:0004338,GO:0005982,GO:0005985,GO:0102483
Potra2n9c18768	GO:0005975,GO:0008422,GO:0102483
Potra2n9c18798	GO:0008374,GO:0016021,GO:0016042,GO:0016298,GO:0042967
Potra2n9c18797	GO:0008374,GO:0016021,GO:0016042,GO:0016298,GO:0042967
Potra2n9c18799	GO:0000276,GO:0003735,GO:0004129,GO:0004672,GO:0005507,GO:0005524,GO:0005763,GO:0005886,GO:0006120,GO:0006122,GO:0006123,GO:0006397,GO:0006412,GO:0006468,GO:0006744,GO:0006814,GO:0008121,GO:0008137,GO:0008289,GO:0008483,GO:0015232,GO:0015886,GO:0015986,GO:0015990,GO:0015992,GO:0016021,GO:0017004,GO:0019843,GO:0020037,GO:0042254,GO:0045261,GO:0045275,GO:0045277,GO:0045285,GO:0046933,GO:0048038,GO:0051287
Potra2n9c18773	GO:0005975,GO:0008422,GO:0043015,GO:0045298,GO:0102483
Potra2n9c18775	GO:0005975,GO:0008422,GO:0016021,GO:0102483
Potra2n9c18774	GO:0005975,GO:0008422,GO:0102483
Potra2n9c18770	GO:0004553,GO:0005975
Potra2n9c18892	GO:0005089,GO:0016324,GO:0043087,GO:0080092,GO:2000012,GO:2001108
Potra2n9c18900	GO:0005515,GO:0009451
Potra2n9c18906	GO:0000159,GO:0005634,GO:0005829,GO:0006605,GO:0007165,GO:0016021,GO:0022857,GO:0031952,GO:0043666,GO:0055085,GO:0072542
Potra2n9c18897	GO:0004311,GO:0006694,GO:0009507,GO:0016114,GO:0032440,GO:0042651,GO:0043693,GO:0055114
Potra2n9c18919	GO:0006027,GO:0015019,GO:0015267,GO:0016021,GO:0042967,GO:0055085
Potra2n9c18915	GO:0003723,GO:0005634,GO:0006397,GO:1990904
Potra2n9c18899	GO:0004674,GO:0004715,GO:0005524,GO:0009069,GO:0018108
Potra2n9c18901	GO:0005515
Potra2n9c18885	GO:0003333,GO:0005886,GO:0015171,GO:0016021
